Laboratory_number;Radiocarbon age (years BP);Error;delta_C13;delta_N15;C:N;%C;%collagen;Calculation details;Laboratory treatment;Calibration used;Dated material;Context;Site;Country;Source;Group;Subgroup;Notes
GrN-56013;4030;40;-26,15;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Food crust (biomarkers not reported);Attached to potential CW vessel (vessel 30), cf. Beckerman 2014, p. 69 on this classification;Zeewijk;The Netherlands;"Smit 2014 pp. 35-6; Fokkens et al. 2016 p. 80; cf. Beckerman 2014 pp. 55; 69";CW;NL;
SUERC-26360;4055;35;-26;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Food crust (biomarkers not reported);Attached to CW vessel;Hazerswoude-Rijndijk Windturbinepark;The Netherlands;"Stevens 2010 pp. 256-8; Fokkens et al. 2016 pp. 195, 198; Kleijne and Huisman 2023 S1";CW;NL;
UtC-1945;4040;70;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From buried individual (Grave 12) without ceramics;Schokland-P14;The Netherlands;Ten Anscher 2012 in Fokkens et al. 2016 p. 107;CW;NL;
UtC-1949;3910;50;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From burial (Grave 10) with CW ceramics;Schokland-P14;The Netherlands;Ten Anscher 2012 p. 333;CW;NL;
GrN-1855;4420;55;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From coffin inside burial pit. The burial contained CW ceramics. Find ID 51. Lanting and Van der Plicht contest the reliability of this date.;Anlo-Veekraal;The Netherlands;"Waterbolk 1960 p. 75; Jager 1985 cat nr. 26; Lanting and Van der Plicht 2000 p. 74";CW;NL;
GrN-851;4140;70;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From charred wooden coffin in burial with AOO ceramics. Find ID 49;Anlo-Veekraal;The Netherlands;"Waterbolk 1960 p. 75; Lanting and Van der Plicht 2000 p. 80";CW;NL;
R-combine;4148;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, femur);from burial;Zerniki 27;Poland;"Czebreszuk and ?o? 1999; Pospieszny 2009; pers. communication ?. Pospieszny in Bourgeois et al. 2025, S1";CW;opp. GAC_C;
Gd-1684;3840;50;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 3 (object 61);Podgaj 6A;Poland;"Czebreszuk and Smyt 1998; Furholt 2003 in Bourgeois et al. 2025, S1";CW;opp. GAC_C;
Ki-6881;3865;45;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);object 214;D?browa Biskupia 21;Poland;"Czebreszuk and Szmyt 2001; Budziszewski et al. 2008 in Bourgeois et al. 2025, S1";CW;opp. GAC_C;
OxA-26755;4086;29;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature B73;Kuczkowo 5;Poland;"Czebreszuk and Szmyt 2001; Pospieszny et al. 2015 in Bourgeois et al. 2025, S1";CW;opp. GAC_C;
R-combine;3877;23;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature A60;Ciechrz 25;Poland;"Czebreszuk and Szmyt 2001; Pospieszny et al. in prep. in Bourgeois et al. 2025, S1";CW;opp. GAC_C;
Poz-16596;3830;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, carbonate fraction, anatomy indet.);grave 1 (object D129);G?uchowo 1;Poland;Czebreszuk and Szmyt 2019  in Bourgeois et al. 2025, S1;CW;opp. GAC_C;
Poz-77329;3950;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 5;Pikutkowo 6;Poland;"Fernandes et al. 2018; Niesio?owska 1967 in Bourgeois et al. 2025, S1";CW;opp. GAC_C;
R-combine;4163;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (artefact, Mammalia, anatomy indet.);feature 427;Krusza Zamkowa 3;Poland;"Goslar and Ko?ko 2011; Ko?ko 1999 in Bourgeois et al. 2025, S1";CW;opp. GAC_C;
Ki-5717;3775;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave IX-1;Dudka;Poland;Gumi?ski and Kowalski 2011 in Bourgeois et al. 2025, S1;CW;opp. GAC_C;
Poz-25936;4080;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 1;Jagodno;Poland;Gworys et al. 2013 in Bourgeois et al. 2025, S1;CW;opp. GAC_C;
Poz-75446;4000;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 32B;Bo?ejewice 8;Poland;"Ko?ko and Klocko 1991, 129; Ko?ko 1999; Ko?ko et al. 2017, 256 in Bourgeois et al. 2025, S1";CW;opp. GAC_C;
Poz-74635;4025;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 32A;Bo?ejewice 8;Poland;"Ko?ko and Klocko 1991; Ko?ko et al. 2017, 256 in Bourgeois et al. 2025, S1";CW;opp. GAC_C;
Ki-6242;3940;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);from burial;Recz 11;Poland;Kurzawa and Janiak 2000 in Bourgeois et al. 2025, S1;CW;opp. GAC_C;
Poz-36250;4160;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);E8;Ob?aczkowo 7;Poland;"Pawlak 2013; Malmstr�m et al. 2019 in Bourgeois et al. 2025, S1";CW;opp. GAC_C;
Poz-89314;4005;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, femur);grave 1;Krasnasielski;Belarus;Pili?iauskas et al. 2018 in Bourgeois et al. 2025, S1 ;CW;opp. GAC_C;
Poz-20655;3730;70;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcined bone (Homo sapiens, anatomy indet.);from burial;Przespolew;Poland;Pospieszny 2009 in Bourgeois et al. 2025, S1;CW;opp. GAC_C;
OxA-X-2417-15;4187;31;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (artefact, Cervidae, antler);feature 398;Z?bie 10;Poland;"Pospieszny 2015; Manasterski 2009 in Bourgeois et al. 2025, S1";CW;opp. GAC_C;
Poz-33427;4140;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, left talus);feature K45;Kruszyn 13;Poland;Pospieszny et al. 2015 in Bourgeois et al. 2025, S1;CW;opp. GAC_C;
Poz-85608;3775;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 1007;Markowice 9;Poland;Pospieszny et al. in prep. in Bourgeois et al. 2025, S1;CW;opp. GAC_C;
GrN-20926;3960;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 2711;Kietrz;Poland;Tunia and W?odarczak 2002 in Bourgeois et al. 2025, S1;CW;opp. GAC_C;
Poz-9587;4145;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);from burial;Siwki;Ukraine;Tunia and W?odarczak 2002 in Bourgeois et al. 2025, S1;CW;opp. GAC_E;
Poz-9450;3915;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);barrow grave 1;Chorostkiv;Ukraine;"Jarosz and W?odarczak 2007; Sulimirski 1968 in Bourgeois et al. 2025, S1";CW;opp. GAC_E;
Poz-134519;4075;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);barrow 1, central grave 1;?ubcze 25;Poland;"Jarosz and W?odarczak 2022; Machnik et al. 2009 in Bourgeois et al. 2025, S1";CW;opp. GAC_E;
R-combine;3981;26;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);barrow 2, central grave 2;Nede?�w 22;Poland;"Jarosz and W?odarczak 2022; Machnik et al. 2009 in Bourgeois et al. 2025, S1";CW;opp. GAC_E;
Poz-134516;3910;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);barrow 1, central grave 1;Wierszczyca 29;Poland;"Jarosz and W?odarczak 2022; Machnik et al. 2009 in Bourgeois et al. 2025, S1";CW;opp. GAC_E;
Poz-90760;3925;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, humerus);barrow 1, grave 6;Wierszczyca 31;Poland;"Jarosz and W?odarczak 2022; Machnik et al. 2009 in Bourgeois et al. 2025, S1";CW;opp. GAC_E;
Poz-134515;3975;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);kurgan 1, grave 2;Wierszczyca 1;Poland;"Jarosz and W?odarczak 2022; Old date: Machnik et al. 2009; Machnik 1999, 235; W?odarczak 2018; Bagi?ska 1997, 50-52 in Bourgeois et al. 2025, S1";CW;opp. GAC_E;
Poz-134518;4005;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);kurgan 2, feature 1;?ubcze 2;Poland;"Jarosz et al. 2022; For older date: Machnik et al. 2009; Machnik 1999, 232; W?odarczak 2018 in Bourgeois et al. 2025, S1";CW;opp. GAC_E;
Poz-91069;3790;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);barrow 1, central grave;Lipie;Poland;"Jarosz et al. 2022; Machnik 1966; Sulimirski 1968 in Bourgeois et al. 2025, S1";CW;opp. GAC_E;
