"Order","Start_CW","Poz-74635","Poz-75446","R-combine","Ki-6881","Poz-16596","R-combine","Poz-33427","OxA-26755","Poz-85608","Poz-36250","Poz-77329","Gd-1684","Poz-20655","Ki-6242","R-combine","Poz-89314","Ki-5717","OxA-X-2417-15","Poz-25936","GrN-20926","End_CW","Start_GAC","Koszyce 3","Kuczkowo 1","Malice 1, Ind. A","Malice 1, Ind. B","Malice 1, Ind. C","Malice 1, Ind. D","Opatowice 1/38","Opatowice 36/101A","Opatowice 36/123","Sandomierz 78","Ki-6914","Ki-6909","Ki-7831","Ki-7830","Poz-61739","Ki-7829","OxA-23438","Poz-90800","Poz-90802","Poz-90804","Poz-90806","Poz-90807","MAMS-30072","MAMS-30073","MAMS-30074","Poz-61735","Poz-21911","Poz-21912","Ki-5841","GrN-14022","Ki-6508","Ki-6509","Poz-61732","Ki-5434","Poz-58148","Poz-44433","Poz-44431","Poz-44430","Poz-44432","Poz-44485","Poz-94493","Poz-94503","Poz-90808","Poz-90809","Poz-90810","Gd-4117","Ki-5595","Gd-6438","Poz-61733","Ki-6513","Poz-61734","Poz-58109","Poz-102997","Poz-102996","Poz-111913","Poz-130232","Poz-111914","OxA-23437","Poz-90821","GrN-20927","Poz-90785","Poz-61738","Ki-5910","Ki-5952","Ki-5433","Poz-58111","Ki-6221","End_GAC",
"GrN-20926",0.000368,0.21483,0.26992,0.8557,0.8748,0.9413,0.001587,0.006719,0.03703,0.9908,0.0023,0.5741,0.906,0.9778,0.6502,0.002654,0.26028,0.9862,0.001382,0.06452,0,0.9962,0,0.000064,0.00001,0.004593,0.000683,0.003123,0.00561,0.7285,0.7188,0.00063,0.000763,0.000018,0.000117,0.1044,0.12464,0.2469,0.30488,0.001465,0.01663,0.026236,0.005959,0.000553,0.000856,0.000106,0.000354,0.000112,0.00013,0.000052,0.010647,0.003385,0.000079,0.25814,0.629,0.000635,0.22714,0.006121,0.000012,0.000054,0,0.000003,0.013585,0.00264,0.14097,0.002899,0.000834,0.006933,0.011542,0.3648,0.13529,0.000161,0.013749,0.14267,0,0.04512,0.003852,0.24828,0.0358,0.000444,0.003927,0.001512,0.427,0.0005,0.12623,0.000001,0.002026,0.000839,0.000715,0.12592,0.4272,
"End_CW",0,0.000026,0.000109,0.02888,0.05884,0.12551,0,0,0.000014,0.3083,0,0.005008,0.09647,0.3593,0.0089,0.000003,0.0001,0.29265,0,0.000014,0.003816,0,0,0,0,0.000002,0,0,0,0.006045,0.004991,0,0,0,0,0.000208,0.000339,0.000042,0.001478,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0.000114,0.003509,0,0.000012,0.000003,0,0,0,0,0,0,0,0,0,0,0.000005,0.00133,0.000385,0,0.000004,0,0,0,0,0.000052,0,0,0,0,0.001031,0,0,0,0,0,0,0.000083,0.000828,
"Start_GAC",0.9855,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.999,0.736,1,0.9993,1,1,1,1,0.9996,0.9997,0.9177,0.8431,0.9998,0.9998,1,0.9999,0.9999,0.9999,0.9999,0.9999,0.9996,0.9998,0.999,0.9997,0.9989,0.9981,0.9238,0.9999,0.9999,0.8715,1,0.9999,0.9998,1,0.9999,0.9132,0.7026,0.7809,0.8891,0.9999,0.9999,1,0.9999,0.9998,0.9999,0.9814,0.9999,0.9998,0.9987,0.9999,1,0.8556,0.9999,0.9999,1,0.9999,0.9998,0.9999,0.9999,1,0.9996,1,0.8237,0.9999,0.9998,0.9998,0.9999,1,
"Koszyce 3",0.7764,0.9979,0.9999,1,1,1,0.9428,0.952,0.976,1,0.944,1,1,1,1,0.9487,0.9995,1,0.9271,0.9769,0.9999,1,0.000992,0,0.017124,0.8966,0.6373,0.8902,0.9014,1,1,0.717,0.7701,0.05684,0.017645,0.9274,0.9356,0.9987,0.9776,0.8817,0.9072,0.9175,0.8754,0.7887,0.838,0.5882,0.8149,0.5306,0.5425,0.11351,0.9023,0.8906,0.007065,0.999,0.9983,0.8406,0.9987,0.8981,0.02491,0.010553,0.004121,0.013369,0.9077,0.8828,0.9806,0.8784,0.8382,0.8921,0.6985,0.9938,0.9331,0.594,0.9027,0.9808,0.004598,0.9369,0.8884,0.9988,0.9313,0.8309,0.8933,0.8631,0.9999,0.8181,0.9756,0.00767,0.8711,0.8552,0.8546,0.956,1,
"Kuczkowo 1",0.9715,0.9999,1,1,1,1,0.9955,0.9964,0.9985,1,0.9957,1,1,1,1,0.9959,1,1,0.9946,0.9985,1,1,0.26402,0.9829,0,0.9954,0.9866,0.9946,0.9955,1,1,0.9888,0.9895,0.8161,0.6824,0.9963,0.9965,0.9999,0.9988,0.9938,0.995,0.9957,0.9936,0.99,0.9917,0.985,0.9898,0.9839,0.9835,0.8291,0.9952,0.9945,0.7348,0.9998,0.9998,0.9915,0.9999,0.9949,0.8109,0.4717,0.5754,0.7656,0.9956,0.9937,0.999,0.9935,0.9915,0.9941,0.9489,0.9997,0.9963,0.9849,0.995,0.999,0.7059,0.997,0.994,0.9999,0.9967,0.991,0.9947,0.9927,1,0.9906,0.9989,0.6489,0.9932,0.9919,0.992,0.9977,1,
"Malice 1, Ind. A",0.287,0.9665,0.9912,0.9999,0.9998,0.9999,0.4282,0.536,0.765,0.9998,0.4667,0.9973,0.9997,1,0.9976,0.4861,0.9851,0.9999,0.3963,0.7711,0.9954,1,0.000016,0.10338,0.004634,0,0.18884,0.4528,0.5353,0.9995,0.9994,0.22897,0.23761,0.015591,0.005352,0.6644,0.6989,0.9837,0.8864,0.4034,0.5433,0.59,0.4189,0.27978,0.3193,0.16592,0.26282,0.14628,0.16569,0.0335,0.5257,0.4617,0.002067,0.9863,0.9941,0.31014,0.9822,0.5067,0.005999,0.003776,0.001058,0.002885,0.5495,0.4142,0.8915,0.4053,0.3197,0.466,0.3299,0.9648,0.6943,0.18324,0.5216,0.8921,0.000746,0.6899,0.4451,0.984,0.6586,0.30019,0.4844,0.3606,0.9944,0.29112,0.8676,0.002151,0.3807,0.331,0.3293,0.7789,0.9907,
"Malice 1, Ind. B",0.6389,0.9953,0.9992,1,1,1,0.8445,0.8821,0.9518,0.9999,0.8557,0.9997,1,1,0.9997,0.8679,0.9984,1,0.8129,0.9508,0.9993,1,0.000736,0.3627,0.013383,0.8112,0,0.7945,0.8246,0.9999,0.9999,0.5731,0.6017,0.05228,0.016649,0.8682,0.8825,0.997,0.9591,0.7703,0.8282,0.848,0.765,0.6485,0.6992,0.4582,0.6472,0.4174,0.4364,0.09806,0.8214,0.7955,0.008411,0.9976,0.9975,0.6972,0.997,0.8154,0.026044,0.008493,0.003331,0.015222,0.8309,0.7724,0.9659,0.7635,0.7013,0.7945,0.6074,0.9891,0.8789,0.4765,0.8184,0.9666,0.004831,0.8884,0.7864,0.9971,0.8762,0.6852,0.805,0.7369,0.999,0.6722,0.958,0.007635,0.75,0.7172,0.7182,0.9198,0.9995,
"Malice 1, Ind. C",0.3178,0.9759,0.9947,0.9999,0.9999,1,0.4801,0.5896,0.8077,0.9998,0.5198,0.9983,0.9998,1,0.9984,0.5395,0.9903,0.9999,0.4434,0.8093,0.9969,1,0.000011,0.10984,0.005401,0.5472,0.20552,0,0.5814,0.9997,0.9997,0.25248,0.26151,0.016728,0.005683,0.6933,0.7254,0.9883,0.8999,0.4464,0.5857,0.6311,0.4596,0.31077,0.3549,0.18129,0.29081,0.16045,0.1817,0.03695,0.571,0.5072,0.002225,0.9908,0.995,0.345,0.9875,0.5524,0.006632,0.004045,0.001079,0.003368,0.5926,0.4567,0.9094,0.4474,0.3549,0.5085,0.3592,0.9708,0.7204,0.20202,0.5655,0.9101,0.000871,0.7263,0.4908,0.9885,0.6973,0.3346,0.5316,0.3993,0.9963,0.3225,0.8884,0.002254,0.4225,0.3672,0.3677,0.8037,0.9938,
"Malice 1, Ind. D",0.26599,0.9597,0.9891,0.9999,0.9999,0.9999,0.3908,0.4967,0.7322,0.9997,0.4284,0.9967,0.9997,1,0.9972,0.4454,0.9818,0.9999,0.3625,0.7422,0.9944,1,0.000004,0.09862,0.004478,0.4647,0.17541,0.4186,0,0.9997,0.9996,0.21212,0.22205,0.014689,0.004804,0.6437,0.6783,0.98,0.8765,0.3694,0.5107,0.5588,0.3879,0.25746,0.29351,0.15567,0.24348,0.13777,0.15352,0.031602,0.4924,0.4285,0.001939,0.984,0.9938,0.28466,0.9782,0.4736,0.005789,0.003395,0.00093,0.002807,0.5169,0.3814,0.8769,0.3746,0.2946,0.4339,0.30967,0.9606,0.6744,0.17009,0.4899,0.8772,0.000722,0.6619,0.4129,0.9806,0.629,0.27613,0.45,0.3317,0.9935,0.26785,0.8516,0.001921,0.3514,0.30263,0.3023,0.7607,0.988,
"Opatowice 1/38",0.000015,0.015251,0.022858,0.7702,0.7996,0.9114,0.0003,0.000473,0.002481,0.988,0.00022,0.3491,0.8518,0.9715,0.4604,0.000699,0.026872,0.9809,0.000255,0.004215,0.27146,0.994,0,0,0,0.000483,0.000116,0.000258,0.000306,0,0.4791,0.000038,0.000151,0.000001,0.000053,0.021626,0.029492,0.019723,0.11929,0.000051,0.000913,0.001484,0.000291,0.000009,0.000041,0,0.000018,0,0,0,0.000622,0.000143,0.000002,0.023189,0.3576,0.00001,0.013656,0.000321,0,0,0,0,0.000771,0.000161,0.008203,0.000098,0.000046,0.000327,0.001022,0.13248,0.03713,0,0.000714,0.007974,0,0.002342,0.000136,0.020034,0.001968,0.000001,0.000202,0.000045,0.1287,0.000007,0.007158,0,0.000077,0.000043,0.000024,0.014372,0.21917,
"Opatowice 36/101A",0.000016,0.019234,0.027956,0.7824,0.8095,0.9167,0.000267,0.000589,0.003224,0.9893,0.000272,0.3602,0.8592,0.9736,0.4716,0.000729,0.03184,0.9825,0.000284,0.005299,0.28125,0.995,0,0,0,0.000554,0.000116,0.000303,0.000422,0.5209,0,0.000058,0.000146,0,0.000029,0.023977,0.03219,0.024556,0.1271,0.000037,0.001174,0.001896,0.000393,0.00001,0.000025,0,0.000018,0,0,0,0.000696,0.00017,0.000007,0.028179,0.3756,0.000016,0.01748,0.000339,0,0.000001,0,0,0.000919,0.000173,0.010642,0.000152,0.000074,0.000396,0.00123,0.14009,0.04013,0,0.000983,0.010514,0,0.003075,0.000188,0.024919,0.002473,0.000012,0.00022,0.000064,0.13903,0.000017,0.009393,0,0.000106,0.000041,0.000025,0.016555,0.23001,
"Opatowice 36/123",0.5746,0.9944,0.999,1,1,1,0.7918,0.844,0.9393,0.9999,0.8097,0.9997,1,1,0.9997,0.8246,0.998,1,0.7534,0.9366,0.9994,1,0.000448,0.28301,0.011193,0.771,0.4269,0.7475,0.7879,1,0.9999,0,0.5204,0.04354,0.014367,0.8389,0.8571,0.9965,0.9502,0.7163,0.7897,0.815,0.7118,0.5775,0.6331,0.3843,0.5695,0.3478,0.3754,0.08228,0.7832,0.7489,0.006783,0.9973,0.9973,0.6283,0.9966,0.7743,0.020781,0.007652,0.002819,0.012257,0.7948,0.7185,0.9599,0.7093,0.6334,0.7479,0.56,0.9869,0.8529,0.4115,0.7787,0.9607,0.004186,0.8657,0.7386,0.9966,0.8503,0.6157,0.7625,0.6735,0.9989,0.6006,0.9496,0.006405,0.6917,0.6514,0.6502,0.9025,0.9996,
"Sandomierz 78",0.5615,0.994,0.9989,0.9999,1,1,0.7961,0.8461,0.9388,0.9999,0.8119,0.9995,0.9999,1,0.9996,0.829,0.9978,1,0.7553,0.9364,0.9992,1,0.000332,0.22989,0.010524,0.7624,0.3983,0.7385,0.7779,0.9998,0.9999,0.4796,0,0.03501,0.010801,0.8333,0.8517,0.9961,0.9485,0.7078,0.7818,0.8076,0.7021,0.5644,0.6224,0.3523,0.5541,0.31384,0.3507,0.07224,0.7744,0.7407,0.004469,0.997,0.997,0.6154,0.9962,0.7649,0.01435,0.00722,0.002409,0.007685,0.7858,0.7101,0.9578,0.7003,0.6211,0.7394,0.5492,0.9862,0.8476,0.3883,0.7707,0.9579,0.002116,0.86,0.7299,0.9964,0.8434,0.6044,0.7533,0.6646,0.9987,0.5878,0.9469,0.004516,0.6835,0.6417,0.6411,0.8979,0.9995,
"Ki-6914",0.9299,0.9996,1,1,1,1,0.9871,0.99,0.996,1,0.9881,1,1,1,1,0.9891,0.9999,1,0.9844,0.9959,1,1,0.08231,0.9432,0.1839,0.9844,0.9477,0.9833,0.9853,1,1,0.9565,0.965,0,0.3295,0.9879,0.9893,0.9998,0.9963,0.9803,0.9849,0.9871,0.9792,0.9645,0.9727,0.942,0.9693,0.9345,0.9164,0.5451,0.9846,0.9825,0.3548,0.9998,0.9993,0.9734,0.9998,0.9839,0.4691,0.16395,0.2143,0.4057,0.9855,0.9806,0.997,0.9797,0.9733,0.9822,0.878,0.999,0.9884,0.9289,0.9842,0.9972,0.3255,0.9903,0.9817,0.9998,0.9891,0.9719,0.9832,0.9775,0.9999,0.9703,0.9963,0.28458,0.9788,0.9752,0.9754,0.993,1,
"Ki-6909",0.9592,0.9997,0.9998,1,1,1,0.9954,0.9963,0.9982,1,0.9958,0.9999,1,1,0.9999,0.996,0.9998,1,0.9947,0.9984,0.9999,1,0.15694,0.9824,0.3176,0.9946,0.9834,0.9943,0.9952,0.9999,1,0.9856,0.9892,0.6705,0,0.9955,0.996,0.9998,0.9986,0.9932,0.9949,0.9955,0.993,0.9881,0.9908,0.9808,0.9897,0.9781,0.9699,0.7004,0.9946,0.994,0.5455,0.9998,0.9995,0.991,0.9997,0.9945,0.6514,0.29285,0.3763,0.5909,0.9949,0.9934,0.9986,0.9929,0.9909,0.9939,0.9217,0.9994,0.9957,0.9745,0.9946,0.9988,0.5124,0.9966,0.9938,0.9998,0.9961,0.9904,0.994,0.9922,0.9998,0.9899,0.9985,0.4563,0.9927,0.9913,0.9915,0.9974,0.9999,
"Ki-7831",0.20028,0.7704,0.8191,0.9909,0.9908,0.9964,0.29596,0.3645,0.5248,0.9989,0.3198,0.9212,0.9933,0.9988,0.9414,0.3309,0.8077,0.999,0.27517,0.5461,0.8956,0.9998,0.00016,0.07262,0.003693,0.3356,0.13178,0.30665,0.3563,0.9784,0.976,0.16109,0.16672,0.012145,0.004544,0,0.5329,0.8005,0.7421,0.27443,0.3706,0.4068,0.28729,0.19524,0.22288,0.11601,0.18394,0.10353,0.11596,0.02472,0.3556,0.3119,0.002364,0.8084,0.9442,0.21581,0.7909,0.3406,0.005535,0.003012,0.001187,0.003127,0.3721,0.28299,0.6756,0.27741,0.22209,0.3173,0.23109,0.8264,0.5344,0.1294,0.3552,0.6758,0.001351,0.4809,0.30316,0.8013,0.4562,0.20974,0.3259,0.24767,0.8791,0.20237,0.6493,0.002029,0.26117,0.22908,0.22848,0.5897,0.8903,
"Ki-7830",0.17839,0.7346,0.7866,0.987,0.9875,0.9949,0.26439,0.3274,0.4808,0.9988,0.2859,0.9039,0.9907,0.9984,0.928,0.29649,0.775,0.9987,0.24517,0.5065,0.8754,0.9997,0.000176,0.06439,0.003454,0.3011,0.11747,0.27462,0.3217,0.9705,0.9678,0.14292,0.14827,0.010738,0.003964,0.4671,0,0.7662,0.7132,0.24513,0.336,0.3699,0.25732,0.17392,0.19736,0.10299,0.16391,0.09129,0.10292,0.022085,0.3213,0.28048,0.002065,0.7749,0.9311,0.1919,0.7557,0.3078,0.004877,0.002637,0.001076,0.002767,0.3369,0.25218,0.6363,0.2481,0.19793,0.28586,0.209,0.799,0.5018,0.11475,0.3227,0.6373,0.001156,0.443,0.27229,0.7663,0.418,0.18698,0.29266,0.22145,0.8557,0.18038,0.6102,0.001742,0.23322,0.20376,0.20339,0.5539,0.8678,
"Poz-61739",0.004554,0.4455,0.5452,0.9955,0.9924,0.998,0.007239,0.021406,0.09155,0.9985,0.009945,0.8226,0.9944,0.9994,0.8747,0.010877,0.5232,0.9989,0.0067,0.14607,0.7531,1,0,0.001292,0.000073,0.016258,0.002976,0.011714,0.02,0.9803,0.9754,0.003496,0.003909,0.000235,0.000236,0.19949,0.23379,0,0.5015,0.007573,0.04311,0.0627,0.017995,0.003869,0.00505,0.002013,0.003507,0.001826,0.002083,0.000449,0.02989,0.013357,0.000153,0.5169,0.8969,0.004474,0.4723,0.02014,0.000157,0.000111,0.000017,0.000056,0.03664,0.010305,0.30323,0.011246,0.005168,0.020738,0.027003,0.6081,0.24433,0.002246,0.03608,0.30572,0.000024,0.10402,0.014103,0.4996,0.08491,0.00419,0.014928,0.007088,0.7129,0.003954,0.27204,0.000032,0.00862,0.005099,0.004978,0.25548,0.6974,
"Ki-7829",0.06291,0.4639,0.5248,0.9423,0.9481,0.9774,0.0927,0.12439,0.21719,0.9964,0.10254,0.7495,0.9618,0.9928,0.804,0.10689,0.5112,0.9949,0.08574,0.24829,0.6951,0.9985,0.000072,0.022364,0.00118,0.11362,0.04093,0.10014,0.12352,0.8807,0.8729,0.04976,0.05152,0.003705,0.001449,0.25785,0.2868,0.4985,0,0.08793,0.1387,0.16058,0.0973,0.06029,0.06836,0.03589,0.05648,0.03183,0.03549,0.007476,0.12679,0.10354,0.000818,0.5097,0.7991,0.06695,0.4813,0.1178,0.001695,0.001179,0.000446,0.000976,0.13652,0.09203,0.366,0.0904,0.069,0.10939,0.0847,0.5791,0.29424,0.03972,0.12989,0.3669,0.000456,0.20722,0.10053,0.4991,0.18908,0.06455,0.10943,0.07871,0.6425,0.06273,0.3429,0.000675,0.08378,0.07132,0.07131,0.31435,0.6682,
"OxA-23438",0.3582,0.9838,0.9976,1,1,1,0.5442,0.6487,0.8497,0.9998,0.582,0.9993,0.9999,1,0.9993,0.6035,0.9944,0.9999,0.5021,0.8468,0.9985,1,0.000075,0.11827,0.006203,0.5966,0.22971,0.5536,0.6306,0.9999,1,0.28373,0.29221,0.019681,0.006778,0.7256,0.7549,0.9924,0.9121,0,0.631,0.6748,0.5075,0.351,0.401,0.19988,0.3273,0.177,0.20259,0.04166,0.618,0.5589,0.002841,0.9943,0.9959,0.3893,0.9919,0.6024,0.00777,0.004688,0.001458,0.003902,0.6385,0.5086,0.9263,0.4979,0.3998,0.5591,0.395,0.9766,0.7484,0.22675,0.6113,0.9265,0.001349,0.7632,0.5409,0.9928,0.7365,0.3783,0.5823,0.4473,0.9979,0.365,0.9083,0.002715,0.4712,0.4153,0.4136,0.828,0.9973,
"Poz-90800",0.26432,0.9345,0.9676,0.9999,0.9997,0.9999,0.3943,0.4917,0.7079,0.9997,0.4293,0.989,0.9996,1,0.9916,0.4449,0.9593,0.9999,0.3648,0.7197,0.9834,1,0.000105,0.09285,0.005034,0.4567,0.17183,0.4143,0.4893,0.9991,0.9988,0.2103,0.21821,0.01512,0.00506,0.6294,0.664,0.9569,0.8613,0.369,0,0.5447,0.3857,0.25682,0.29372,0.15067,0.24148,0.13383,0.15146,0.031378,0.4827,0.4229,0.002234,0.9615,0.9898,0.2851,0.9532,0.4642,0.006257,0.003765,0.001171,0.003247,0.5048,0.3797,0.8496,0.372,0.29436,0.4285,0.30534,0.9442,0.6608,0.16834,0.4808,0.8503,0.001195,0.641,0.4094,0.9575,0.6097,0.27759,0.4437,0.3309,0.9807,0.26716,0.8242,0.0023,0.3498,0.30374,0.30339,0.7408,0.9773,
"Poz-90802",0.23378,0.9104,0.9501,0.9998,0.9995,0.9999,0.3457,0.4402,0.6562,0.9996,0.3786,0.9824,0.9993,1,0.9873,0.3931,0.9401,0.9998,0.3203,0.6713,0.9738,1,0.000051,0.08247,0.004277,0.41,0.15203,0.3689,0.4412,0.9985,0.9981,0.18503,0.1924,0.012868,0.004539,0.5932,0.6301,0.9373,0.8394,0.3252,0.4553,0,0.3438,0.22595,0.25865,0.13394,0.21204,0.1182,0.13365,0.027532,0.436,0.378,0.00206,0.9425,0.986,0.25077,0.9323,0.4174,0.005423,0.003216,0.000999,0.002843,0.4579,0.3367,0.817,0.3304,0.2581,0.3842,0.27537,0.9287,0.6273,0.14805,0.4349,0.8171,0.00091,0.5959,0.365,0.9376,0.5651,0.24267,0.3971,0.29156,0.9706,0.23407,0.7901,0.001872,0.30951,0.26581,0.26658,0.7059,0.9664,
"Poz-90804",0.3584,0.9705,0.9888,1,0.9999,1,0.5374,0.633,0.8211,0.9998,0.5718,0.9961,0.9998,1,0.9971,0.5915,0.9843,0.9999,0.499,0.8234,0.994,1,0.000149,0.12465,0.006443,0.5811,0.235,0.5404,0.6121,0.9997,0.9996,0.28819,0.2979,0.020772,0.006973,0.7127,0.7427,0.982,0.9027,0.4925,0.6143,0.6562,0,0.3534,0.4018,0.20522,0.3326,0.1819,0.20702,0.04344,0.6016,0.5463,0.003308,0.9846,0.9941,0.3913,0.9813,0.5871,0.00849,0.004795,0.001687,0.004685,0.6227,0.5008,0.9086,0.4907,0.4007,0.5475,0.391,0.9678,0.7375,0.23187,0.5968,0.9087,0.001551,0.7417,0.5299,0.9827,0.7157,0.3802,0.5669,0.4447,0.9927,0.3676,0.8892,0.002815,0.4661,0.4149,0.4133,0.8131,0.9918,
"Poz-90806",0.5006,0.9929,0.9993,1,1,1,0.7187,0.79,0.9196,0.9999,0.7441,0.9998,0.9999,1,0.9998,0.7627,0.9979,1,0.6777,0.9156,0.9994,1,0.000425,0.21134,0.010008,0.7202,0.3515,0.6892,0.7425,1,1,0.4225,0.4356,0.0355,0.011941,0.8048,0.8261,0.9961,0.9397,0.649,0.7432,0.7741,0.6466,0,0.5547,0.31339,0.483,0.2811,0.31207,0.06808,0.7339,0.6917,0.006507,0.9971,0.997,0.5482,0.9962,0.7239,0.017182,0.006815,0.002873,0.009932,0.7491,0.6531,0.9522,0.6431,0.5559,0.6907,0.506,0.9846,0.8219,0.3439,0.729,0.9517,0.004065,0.8379,0.6785,0.9964,0.8192,0.5355,0.7092,0.601,0.999,0.5197,0.9396,0.005536,0.6204,0.573,0.5721,0.8814,0.9995,
"Poz-90807",0.4468,0.9905,0.9988,1,1,1,0.6638,0.7475,0.8992,0.9998,0.6937,0.9997,0.9999,1,0.9997,0.7147,0.9968,1,0.619,0.896,0.9991,1,0.00021,0.16198,0.008255,0.6807,0.30078,0.6451,0.7065,1,1,0.3669,0.3776,0.0273,0.009157,0.7771,0.8026,0.995,0.9316,0.599,0.7063,0.7413,0.5982,0.4453,0,0.26257,0.4223,0.23323,0.26571,0.05586,0.696,0.6481,0.004377,0.9962,0.9966,0.4907,0.995,0.6839,0.01169,0.006176,0.002158,0.006655,0.7132,0.6049,0.9445,0.594,0.4995,0.6466,0.4666,0.9819,0.7973,0.29493,0.6898,0.9441,0.002417,0.8138,0.632,0.9952,0.7927,0.4782,0.6672,0.5474,0.9986,0.4626,0.9301,0.003982,0.5697,0.5171,0.5164,0.8639,0.999,
"MAMS-30072",0.676,0.9967,0.9998,1,1,1,0.8725,0.9022,0.9598,0.9999,0.8811,1,1,1,0.9999,0.8916,0.9992,1,0.845,0.959,0.9999,1,0.001002,0.4118,0.015047,0.8341,0.5418,0.8187,0.8443,1,1,0.6157,0.6477,0.05797,0.019156,0.884,0.897,0.998,0.9641,0.8001,0.8493,0.8661,0.7948,0.6866,0.7374,0,0.6925,0.4571,0.4722,0.10658,0.8436,0.8209,0.009836,0.9985,0.998,0.7363,0.9981,0.8362,0.029922,0.009689,0.004217,0.017425,0.8516,0.8013,0.971,0.7947,0.7371,0.8217,0.6322,0.9905,0.894,0.5147,0.8419,0.971,0.006448,0.9019,0.814,0.9982,0.8917,0.7246,0.8289,0.7698,0.9996,0.7113,0.9627,0.009009,0.7827,0.7542,0.7532,0.9298,1,
"MAMS-30073",0.5189,0.9944,0.9995,1,1,1,0.7577,0.8213,0.9328,0.9999,0.7803,0.9999,1,1,0.9998,0.7998,0.9985,1,0.7138,0.929,0.9996,1,0.000254,0.18509,0.010168,0.7372,0.3528,0.7092,0.7565,1,1,0.4305,0.4459,0.030706,0.010327,0.8161,0.8361,0.9965,0.9435,0.6727,0.7585,0.788,0.6674,0.517,0.5777,0.3075,0,0.27204,0.3117,0.06386,0.7514,0.7115,0.004563,0.9976,0.9972,0.5693,0.9968,0.7411,0.012974,0.006897,0.002466,0.007056,0.7645,0.6748,0.9553,0.6642,0.5763,0.7097,0.5193,0.9855,0.8317,0.346,0.7447,0.9552,0.002607,0.8469,0.6987,0.9969,0.8292,0.5566,0.727,0.6242,0.9991,0.5393,0.9432,0.004443,0.6439,0.596,0.5965,0.8884,0.9999,
"MAMS-30074",0.7057,0.997,0.9999,1,1,1,0.8892,0.9143,0.965,1,0.8973,1,1,1,0.9999,0.905,0.9992,1,0.8652,0.9639,0.9999,1,0.001091,0.4694,0.016084,0.8537,0.5826,0.8396,0.8622,1,1,0.6522,0.6862,0.06548,0.021897,0.8965,0.9087,0.9982,0.9682,0.823,0.8662,0.8818,0.8181,0.7189,0.7668,0.5429,0.728,0,0.5065,0.11706,0.8609,0.8423,0.011842,0.9987,0.998,0.7655,0.9984,0.8559,0.03528,0.01018,0.004582,0.020922,0.8686,0.8245,0.9739,0.8183,0.7668,0.8411,0.655,0.9918,0.9051,0.5514,0.8595,0.974,0.007639,0.9131,0.8359,0.9983,0.9033,0.7554,0.849,0.7974,0.9996,0.7446,0.9676,0.010275,0.807,0.783,0.783,0.9377,1,
"Poz-61735",0.6739,0.9966,0.9998,1,1,1,0.8561,0.8927,0.9589,1,0.8681,1,1,1,0.9999,0.8796,0.9991,1,0.8288,0.9565,0.9999,1,0.001921,0.4575,0.016519,0.8343,0.5636,0.8183,0.8465,1,1,0.6246,0.6493,0.08365,0.030096,0.884,0.8971,0.9979,0.9645,0.7974,0.8485,0.8664,0.793,0.6879,0.7343,0.5278,0.6883,0.4935,0,0.13287,0.8446,0.8203,0.02139,0.9985,0.9979,0.7313,0.998,0.8372,0.05358,0.010692,0.006732,0.03505,0.8522,0.7987,0.9718,0.7915,0.7332,0.8188,0.6372,0.991,0.8937,0.5381,0.8412,0.9719,0.015933,0.9038,0.8118,0.998,0.8929,0.7219,0.8286,0.7658,0.9996,0.7102,0.9643,0.016606,0.7779,0.7494,0.7494,0.9298,1,
"Poz-21911",0.8991,0.9992,0.9999,1,1,1,0.9707,0.9782,0.9912,1,0.9734,1,1,1,1,0.9753,0.9998,1,0.9656,0.9907,0.9999,1,0.07621,0.8865,0.17093,0.9665,0.9019,0.9631,0.9684,1,1,0.9177,0.9278,0.4549,0.29959,0.9753,0.9779,0.9996,0.9925,0.9583,0.9686,0.9725,0.9566,0.9319,0.9441,0.8934,0.9361,0.8829,0.8671,0,0.9677,0.9633,0.3217,0.9997,0.9992,0.9438,0.9996,0.9664,0.4261,0.15294,0.19744,0.3686,0.9693,0.9582,0.9939,0.9573,0.9443,0.963,0.8505,0.9979,0.9769,0.8826,0.9671,0.994,0.29581,0.9798,0.9615,0.9996,0.9778,0.942,0.9648,0.9518,0.9999,0.939,0.9925,0.2609,0.9544,0.9482,0.9482,0.9856,1,
"Poz-21912",0.27375,0.9497,0.9796,0.9999,0.9998,0.9999,0.4065,0.5087,0.731,0.9997,0.4431,0.9934,0.9997,1,0.995,0.4608,0.9725,0.9999,0.3757,0.7407,0.9894,1,0.000095,0.09771,0.004813,0.4743,0.17859,0.429,0.5076,0.9994,0.9993,0.21685,0.22558,0.015355,0.005371,0.6444,0.6787,0.9701,0.8732,0.382,0.5173,0.564,0.3984,0.2661,0.30403,0.15643,0.24863,0.13906,0.1554,0.03226,0,0.4375,0.002463,0.9739,0.992,0.29441,0.9676,0.4824,0.006382,0.003712,0.00127,0.00328,0.5226,0.3932,0.8689,0.385,0.30435,0.4433,0.3159,0.9541,0.6748,0.17385,0.4967,0.8685,0.001268,0.6606,0.4229,0.9708,0.6296,0.28615,0.4591,0.3418,0.9879,0.27606,0.8435,0.00227,0.3619,0.31323,0.31346,0.7565,0.9835,
